IR,MR,OR,CR,CO,FF,FF
A,A,A,A,A,A,2
A,A,A,A,A,P,2
A,A,A,A,P,A,2
A,A,A,A,P,P,2
A,A,A,P,A,A,2
A,A,A,P,A,P,2
A,A,A,P,P,A,4
A,A,A,P,P,P,2
A,A,A,P,P,N,1
A,A,N,A,P,A,1
A,A,N,N,N,N,7
A,A,P,A,A,A,2
A,A,P,N,N,N,2
A,A,P,P,A,A,1
A,A,P,P,P,N,3
A,A,P,P,P,A,2
A,N,A,A,P,A,1
A,N,A,N,N,N,5
A,N,A,P,P,N,2
A,N,A,P,P,A,1
A,N,N,A,P,A,1
A,N,N,A,P,P,1
A,N,N,N,N,N,8
A,N,P,A,P,A,1
A,N,P,A,P,N,1
A,N,P,N,P,N,1
A,P,A,A,A,P,1
A,P,N,A,N,N,4
A,P,N,A,P,P,1
A,P,N,N,N,N,2
A,P,N,P,P,P,1
A,P,P,A,A,A,2
A,P,P,A,P,P,1
A,P,P,P,A,A,4
A,P,P,P,A,N,4
A,P,P,P,P,P,2
N,A,N,N,N,N,2
N,A,N,P,P,P,1
N,A,P,A,N,P,1
N,A,P,N,N,N,4
N,N,A,A,N,N,4
N,N,A,N,N,N,9
N,N,A,P,P,P,2
N,N,N,A,A,A,2
N,N,N,A,A,P,2
N,N,N,A,N,N,4
N,N,N,A,P,A,2
N,N,N,A,P,P,2
N,N,N,N,N,N,10
N,N,N,N,N,A,4
N,N,N,P,A,A,4
N,N,N,P,A,P,2
N,N,N,P,N,N,2
N,N,N,P,P,A,2
N,N,N,P,P,P,2
N,N,P,A,N,N,4
N,N,P,A,P,P,1
N,N,P,N,N,N,4
N,N,P,P,N,N,1
N,N,P,P,P,A,2
N,N,P,P,P,P,1
N,P,A,A,P,P,1
N,P,A,P,P,N,2
N,P,N,A,A,A,2
N,P,N,A,P,A,2
N,P,N,N,N,N,4
N,P,N,P,P,P,2
N,P,P,P,A,A,2
P,A,A,A,P,A,2
P,A,A,A,P,N,1
P,A,A,N,N,N,2
P,A,N,A,P,N,1
P,A,N,A,P,P,1
P,A,N,N,N,N,5
P,A,N,N,P,P,4
P,A,N,P,P,A,2
P,A,N,P,P,P,1
P,A,P,A,P,P,2
P,A,P,N,P,A,1
P,A,P,P,P,A,2
P,N,A,N,A,N,4
P,N,A,P,P,N,1
P,N,N,A,A,A,2
P,N,N,N,N,N,11
P,N,N,P,A,P,1
P,N,N,P,P,P,2
P,N,P,A,A,A,2
P,N,P,A,A,P,2
P,N,P,N,A,A,1
P,N,P,N,N,N,3
P,N,P,P,P,P,2
P,P,N,A,P,A,2
P,P,N,A,P,P,2
P,P,N,N,N,N,1
P,P,N,P,P,A,2
P,P,P,A,A,A,2
P,P,P,A,A,P,2
P,P,P,A,P,A,2
P,P,P,A,P,P,2
P,P,P,P,A,A,2
P,P,P,P,A,P,2
P,P,P,P,P,A,4
P,P,P,P,P,P,2
