age,relationship,education,race,sex,hours-per-week,income,income
"(15, 20]", Husband, 11th, White, Male,"(30, 40]", <=50K,3
"(15, 20]", Husband, 11th, White, Male,"(50, 60]", <=50K,1
"(15, 20]", Husband, 7th-8th, White, Male,"(90, 100]", <=50K,1
"(15, 20]", Husband, 9th, White, Male,"(30, 40]", <=50K,2
"(15, 20]", Husband, HS-grad, Other, Male,"(30, 40]", <=50K,1
"(15, 20]", Husband, HS-grad, White, Male,"(20, 30]", <=50K,2
"(15, 20]", Husband, HS-grad, White, Male,"(30, 40]", <=50K,8
"(15, 20]", Husband, HS-grad, White, Male,"(40, 50]", <=50K,4
"(15, 20]", Husband, HS-grad, White, Male,"(50, 60]", <=50K,3
"(15, 20]", Husband, Some-college, Black, Male,"(30, 40]", <=50K,1
"(15, 20]", Husband, Some-college, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Husband, Some-college, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Husband, Some-college, White, Male,"(30, 40]", <=50K,2
"(15, 20]", Not-in-family, 10th, Other, Male,"(30, 40]", <=50K,1
"(15, 20]", Not-in-family, 10th, White, Female,"(30, 40]", <=50K,3
"(15, 20]", Not-in-family, 10th, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Not-in-family, 10th, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Not-in-family, 10th, White, Male,"(30, 40]", <=50K,5
"(15, 20]", Not-in-family, 10th, White, Male,"(50, 60]", <=50K,1
"(15, 20]", Not-in-family, 11th, Black, Female,"(10, 20]", <=50K,1
"(15, 20]", Not-in-family, 11th, Black, Female,"(30, 40]", <=50K,1
"(15, 20]", Not-in-family, 11th, Black, Male,"(20, 30]", <=50K,1
"(15, 20]", Not-in-family, 11th, Black, Male,"(30, 40]", <=50K,2
"(15, 20]", Not-in-family, 11th, White, Female,"(10, 20]", <=50K,3
"(15, 20]", Not-in-family, 11th, White, Female,"(20, 30]", <=50K,3
"(15, 20]", Not-in-family, 11th, White, Female,"(30, 40]", <=50K,3
"(15, 20]", Not-in-family, 11th, White, Male,"(0, 10]", <=50K,1
"(15, 20]", Not-in-family, 11th, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Not-in-family, 11th, White, Male,"(20, 30]", <=50K,1
"(15, 20]", Not-in-family, 11th, White, Male,"(30, 40]", <=50K,6
"(15, 20]", Not-in-family, 11th, White, Male,"(50, 60]", <=50K,2
"(15, 20]", Not-in-family, 12th, White, Female,"(0, 10]", <=50K,1
"(15, 20]", Not-in-family, 12th, White, Female,"(20, 30]", <=50K,3
"(15, 20]", Not-in-family, 12th, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Not-in-family, 12th, White, Female,"(50, 60]", <=50K,1
"(15, 20]", Not-in-family, 12th, White, Male,"(30, 40]", <=50K,2
"(15, 20]", Not-in-family, 7th-8th, White, Female,"(30, 40]", <=50K,1
"(15, 20]", Not-in-family, 7th-8th, White, Male,"(40, 50]", <=50K,1
"(15, 20]", Not-in-family, 7th-8th, White, Male,"(50, 60]", >50K,1
"(15, 20]", Not-in-family, 9th, White, Male,"(0, 10]", <=50K,1
"(15, 20]", Not-in-family, 9th, White, Male,"(10, 20]", <=50K,1
"(15, 20]", Not-in-family, 9th, White, Male,"(40, 50]", <=50K,1
"(15, 20]", Not-in-family, Assoc-acdm, White, Female,"(20, 30]", <=50K,1
