IR,MR,FF,CR,CO,OR,class,class
A,A,A,A,A,A,NB,2
A,A,A,A,A,P,NB,2
A,A,A,A,P,A,NB,2
A,A,A,A,P,N,NB,1
A,A,A,P,A,A,NB,2
A,A,A,P,A,P,NB,1
A,A,A,P,P,A,NB,4
A,A,A,P,P,P,NB,2
A,A,N,N,N,N,B,7
A,A,N,N,N,P,B,2
A,A,N,P,P,A,NB,1
A,A,N,P,P,P,NB,3
A,A,P,A,A,A,NB,2
A,A,P,A,P,A,NB,2
A,A,P,P,A,A,NB,2
A,A,P,P,P,A,NB,2
A,N,A,A,P,A,NB,1
A,N,A,A,P,N,NB,1
A,N,A,A,P,P,NB,1
A,N,A,P,P,A,NB,1
A,N,N,A,P,P,NB,1
A,N,N,N,N,A,B,5
A,N,N,N,N,N,B,8
A,N,N,N,P,P,NB,1
A,N,N,P,P,A,NB,2
A,N,P,A,P,N,NB,1
A,P,A,A,A,P,NB,2
A,P,A,P,A,P,NB,4
A,P,N,A,N,N,B,4
A,P,N,N,N,N,B,2
A,P,N,P,A,P,NB,4
A,P,P,A,A,A,NB,1
A,P,P,A,P,N,NB,1
A,P,P,A,P,P,NB,1
A,P,P,P,P,N,NB,1
A,P,P,P,P,P,NB,2
N,A,N,N,N,N,B,2
N,A,N,N,N,P,B,4
N,A,P,A,N,P,B,1
N,A,P,P,P,N,NB,1
N,N,A,A,A,N,NB,2
N,N,A,A,P,N,NB,2
N,N,A,N,N,N,B,4
N,N,A,P,A,N,NB,4
N,N,A,P,P,N,NB,2
N,N,A,P,P,P,NB,2
N,N,N,A,N,A,B,4
N,N,N,A,N,N,B,4
N,N,N,A,N,P,B,4
N,N,N,N,N,A,B,9
N,N,N,N,N,N,B,10
N,N,N,N,N,P,B,4
N,N,N,P,N,N,B,2
N,N,N,P,N,P,B,1
N,N,P,A,A,N,NB,2
N,N,P,A,P,N,NB,2
N,N,P,A,P,P,NB,1
N,N,P,P,A,N,NB,2
N,N,P,P,P,A,NB,2
N,N,P,P,P,N,NB,2
N,N,P,P,P,P,NB,1
N,P,A,A,A,N,NB,2
N,P,A,A,P,N,NB,2
N,P,A,P,A,P,NB,2
N,P,N,N,N,N,B,4
N,P,N,P,P,A,NB,2
N,P,P,A,P,A,NB,1
N,P,P,P,P,N,NB,2
P,A,A,A,P,A,NB,2
P,A,A,N,P,P,NB,1
P,A,A,P,P,N,NB,2
P,A,A,P,P,P,NB,2
P,A,N,A,P,A,NB,1
P,A,N,A,P,N,NB,1
P,A,N,N,N,A,B,2
P,A,N,N,N,N,B,5
P,A,P,A,P,N,NB,1
P,A,P,A,P,P,NB,2
P,A,P,N,P,N,NB,4
P,A,P,P,P,N,NB,1
P,N,A,A,A,N,NB,2
P,N,A,A,A,P,NB,2
P,N,A,N,A,P,NB,1
P,N,N,N,A,A,B,4
P,N,N,N,N,N,B,11
P,N,N,N,N,P,B,3
P,N,N,P,P,A,NB,1
P,N,P,A,A,P,NB,2
P,N,P,P,A,N,NB,1
P,N,P,P,P,N,NB,2
P,N,P,P,P,P,NB,2
P,P,A,A,A,P,NB,2
P,P,A,A,P,N,NB,2
P,P,A,A,P,P,NB,2
P,P,A,P,A,P,NB,2
P,P,A,P,P,N,NB,2
P,P,A,P,P,P,NB,4
P,P,N,N,N,N,B,1
P,P,P,A,A,P,NB,2
P,P,P,A,P,N,NB,2
P,P,P,A,P,P,NB,2
P,P,P,P,A,P,NB,2
P,P,P,P,P,P,NB,2
